Base,Romanized,Yiddish,Gloss,Definition
administrativ,administrative,אַדמיניסטראַטיװע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"administrative"
administrativ,administrativ,אַדמיניסטראַטיװ,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"administrative"
administrativ,administrativer,אַדמיניסטראַטיװער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"administrative"
administrativ,administrativn,אַדמיניסטראַטיװן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"administrative"
administrator,administrator,אַדמיניסטראַטאָר,NOUN.MASC,"administrator; manager"
administrator,administratorn,אַדמיניסטראַטאָרן,NOUN.PL,"administrator; manager"
administratsye,administratsyes,אַדמיניסטראַציעס,NOUN.FEM.PL,"administration; management"
administratsye,administratsye,אַדמיניסטראַציע,NOUN.FEM,"administration; management"
admiral,admiral,אַדמיראַל,NOUN.MASC,"admiral"
admiral,admiraln,אַדמיראַלן,NOUN.PL,"admiral"
admiralshe,admiralshes,אַדמיראַלשעס,NOUN.PL,"admiral"
admiralshe,admiralshe,אַדמיראַלשע,NOUN,"admiral"
adoptir,adoptirndik,אַדאָפּטירנדיק,V.PRES.PTCP,"adopt"
adoptir,adoptirndiker,אַדאָפּטירנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"adopt"
adoptir,adoptirn,אַדאָפּטירן,V.INF V.1.PL V.3.PL,"adopt"
adoptir,adoptirst,אַדאָפּטירסט,V.2.SG,"adopt"
adoptir,adoptirt,אַדאָפּטירט,V.3.SG V.2.PL PART,"adopt"
adoptir,adoptirndikn,אַדאָפּטירנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"adopt"
adoptir,adoptirter,אַדאָפּטירטער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"adopt"
adoptir,adoptirts,אַדאָפּטירטס,PART.NEUT.NOM.SG PART.NEUT.ACC.SG,"adopt"
adoptir,adoptirte,אַדאָפּטירטע,PART.FEM.NOM.SG PART.NEUT.NOM/ACC.DEF.SG PART.PL,"adopt"
adoptir,adoptirndiks,אַדאָפּטירנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"adopt"
adoptir,adoptirstu,אַדאָפּטירסטו,V.2.SG,"adopt"
adoptir,adoptirtn,אַדאָפּטירטן,PART.MASC.ACC.SG PART.MASC.DAT.SG PART.NEUT.DAT.SG,"adopt"
adoptir,adoptirndike,אַדאָפּטירנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"adopt"
adoyn,adoyn,אַדון,NOUN.FEM,"important (usually non-Jewish) person"
adoynis,adoynisn,אַדױניסן,NOUN.PL,"important (usually non-Jewish) person"
adoynis,adoynis,אַדונית,NOUN,"important (usually non-Jewish) person"
adrenal,adrenaler,אַדרענאַלער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"adrenal (physiology)"
adrenal,adrenaln,אַדרענאַלן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"adrenal (physiology)"
adrenal,adrenale,אַדרענאַלע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"adrenal (physiology)"
adrenal,adrenal,אַדרענאַל,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"adrenal (physiology)"
adrenal,adrenals,אַדרענאַלס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"adrenal (physiology)"
adrenalin,adrenalin,אַדרענאַלין,NOUN.MASC,"adrenalin"
adres,adreysim,אַדרײסים,NOUN.PL,"address"
adres,adresn,אַדרעסן,NOUN.PL,"address"
adres,adres,אַדרעס,NOUN.MASC,"address"
adresat,adresat,אַדרעסאַט,NOUN.MASC,"addressee"
adresat,adresatn,אַדרעסאַטן,NOUN.PL,"addressee"
adresatin,adresatins,אַדרעסאַטינס,NOUN.PL,"addressee"
adresatin,adresatin,אַדרעסאַטין,NOUN,"addressee"
adresir,adresirndike,אַדרעסירנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"address"
adresir,adresirtn,אַדרעסירטן,PART.MASC.ACC.SG PART.MASC.DAT.SG PART.NEUT.DAT.SG,"address"
adresir,adresirndiks,אַדרעסירנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"address"
adresir,adresirstu,אַדרעסירסטו,V.2.SG,"address"
adresir,adresirter,אַדרעסירטער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"address"
adresir,adresirte,אַדרעסירטע,PART.FEM.NOM.SG PART.NEUT.NOM/ACC.DEF.SG PART.PL,"address"
adresir,adresirts,אַדרעסירטס,PART.NEUT.NOM.SG PART.NEUT.ACC.SG,"address"
adresir,adresirt,אַדרעסירט,V.3.SG V.2.PL PART,"address"
adresir,adresirndikn,אַדרעסירנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"address"
adresir,adresirn,אַדרעסירן,V.INF V.1.PL V.3.PL,"address"
adresir,adresirst,אַדרעסירסט,V.2.SG,"address"
adresir,adresirndik,אַדרעסירנדיק,V.PRES.PTCP,"address"
adresir,adresirndiker,אַדרעסירנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"address"
adurkhet,adurkhet,אַדורכעט,ADV,"through"
adventist,adventistn,אַדװענטיסטן,NOUN.PL,"Adventist (with zibn togiker)"
adventist,adventist,אַדװענטיסט,NOUN.MASC,"Adventist (with zibn togiker)"
adverb,adverbn,אַדװערבן,NOUN.PL NOUN.PL,"adverb; adverb (grammar)"
adverb,adverbyaler,אַדװערביאַלער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"adverb (grammar)"
adverb,adverbyal,אַדװערביאַל,ADJ,"adverb (grammar)"
adverb,adverbyale,אַדװערביאַלע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"adverb (grammar)"
adverb,adverb,אַדװערב,NOUN.MASC NOUN.MASC,"adverb; adverb (grammar)"
adverb,adverbyals,אַדװערביאַלס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"adverb (grammar)"
adverb,adverbyaln,אַדװערביאַלן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"adverb (grammar)"
advokat,advokatn,אַדװאָקאַטן,NOUN.PL,"lawyer"
advokat,advokat,אַדװאָקאַט,NOUN.MASC,"lawyer"
advokat,advokatelekh,אַדװאָקאַטעלעך,NOUN.DIM.PL,"lawyer"
advokat,advokatl,אַדװאָקאַטל,NOUN.DIM.SG,"lawyer"
advokat,advokatlekh,אַדװאָקאַטלעך,NOUN.DIM.PL,"lawyer"
advokat,advokatele,אַדװאָקאַטעלע,NOUN.DIM.SG,"lawyer"
advokatke,advokatkes,אַדװאָקאַטקעס,NOUN.PL,"lawyer"
advokatke,advokatke,אַדװאָקאַטקע,NOUN,"lawyer"
advokatur,advokatur,אַדװאָקאַטור,NOUN.FEM,"legal profession"
adyektiv,adyektiv,אַדיעקטיװ,NOUN.MASC,"adjective"
adyektiv,adyektivn,אַדיעקטיװן,NOUN.PL,"adjective"
adyutant,adyutantn,אַדיוטאַנטן,NOUN.PL,"aide, adjutant"
adyutant,adyutant,אַדיוטאַנט,NOUN.MASC,"aide, adjutant"
aerodinamik,aerodinamik,אַעראָדינאַמיק,NOUN.FEM,"aerodynamics (subject)"
aerodrom,aerodrom,אַעראָדראָם,NOUN.MASC,"airport"
aerodrom,aerodromen,אַעראָדראָמען,NOUN.PL,"airport"
aeroplan,aeroplan,אַעראָפּלאַן,NOUN,"airplane"
aeroplan,aeroplanen,אַעראָפּלאַנען,NOUN.PL,"airplane"
aeroport,aeroport,אַעראָפּאָרט,NOUN,"airport (American)"
aeroport,aeroportn,אַעראָפּאָרטן,NOUN.PL,"airport (American)"
af,afn,אַפֿן,PREP,"on"
afdernakht,afdernakht,אױפֿדערנאַכט,ADV,"at night"
afer,afer,אַפֿער,ADV,"out from below"
afere,aferes,אַפֿערעס,NOUN.FEM.PL,"affair, love affair"
afere,aferele,אַפֿערעלע,NOUN.DIM.SG,"affair, love affair"
afere,afere,אַפֿערע,NOUN.FEM,"affair, love affair"
afere,aferelekh,אַפֿערעלעך,NOUN.DIM.PL,"affair, love affair"
aferist,aferistn,אַפֿעריסטן,NOUN.PL,"swindler, scammer"
aferist,aferist,אַפֿעריסט,NOUN.MASC,"swindler, scammer"
aferistke,aferistke,אַפֿעריסטקע,NOUN,"swindler, scammer"
aferistke,aferistkes,אַפֿעריסטקעס,NOUN.PL,"swindler, scammer"
afid,afid,אַפֿיד,NOUN.MASC,"aphid (insect, Aphidoidea)"
afid,afidn,אַפֿידן,NOUN.PL,"aphid (insect, Aphidoidea)"
afikoymen,afikoymen,אַפֿיקומן,NOUN.MASC,"afikomen (matsoh eaten at end of Passover seder)"
afikoymen,afikoymens,אַפֿיקומנס,NOUN.MASC.PL,"afikomen (matsoh eaten at end of Passover seder)"
afiks,afiksn,אַפֿיקסן,NOUN.PL,"affix (grammatical)"
afiks,afiks,אַפֿיקס,NOUN.MASC,"affix (grammatical)"
afile,afile,אַפֿילו,CNJ,"even; even if; only; although"
afiliir,afiliirndiks,אַפֿיליִיִרנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"affiliate"
afiliir,afiliirstu,אַפֿיליִיִרסטו,V.2.SG,"affiliate"
afiliir,afiliirtn,אַפֿיליִיִרטן,PART.MASC.ACC.SG PART.MASC.DAT.SG PART.NEUT.DAT.SG,"affiliate"
afiliir,afiliirndike,אַפֿיליִיִרנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"affiliate"
afiliir,afiliirndik,אַפֿיליִיִרנדיק,V.PRES.PTCP,"affiliate"
afiliir,afiliirndiker,אַפֿיליִיִרנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"affiliate"
afiliir,afiliirn,אַפֿיליִיִרן,V.INF V.1.PL V.3.PL,"affiliate"
afiliir,afiliirst,אַפֿיליִיִרסט,V.2.SG,"affiliate"
afiliir,afiliirt,אַפֿיליִיִרט,V.3.SG V.2.PL PART,"affiliate"
afiliir,afiliirndikn,אַפֿיליִיִרנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"affiliate"
afiliir,afiliirter,אַפֿיליִיִרטער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"affiliate"
afiliir,afiliirts,אַפֿיליִיִרטס,PART.NEUT.NOM.SG PART.NEUT.ACC.SG,"affiliate"
afiliir,afiliirte,אַפֿיליִיִרטע,PART.FEM.NOM.SG PART.NEUT.NOM/ACC.DEF.SG PART.PL,"affiliate"
afir,afirn,אַפֿירן,NOUN.PL,"handwriting model; stitching pattern"
afir,afir,אַפֿיר,NOUN.MASC,"handwriting model; stitching pattern"
afish,afish,אַפֿיש,NOUN.MASC/FEM,"poster"
afish,afishn,אַפֿישן,NOUN.PL,"poster"
afor,aforn,אַפֿאָרן,NOUN.PL,"handwriting model; stitching pattern"
afor,afor,אַפֿאָר,NOUN,"handwriting model; stitching pattern"
aforizm,aforizm,אַפֿאָריזם,NOUN.MASC,"aphorism"
aforizm,aforizmen,אַפֿאָריזמען,NOUN.PL,"aphorism"
afrier,afrier,אַפֿריִער,ADV,"beforehand"
afrikaner,afrikaner,אַפֿריקאַנער,NOUN.MASC,"Africa"
afrikanerin,afrikanerins,אַפֿריקאַנערינס,NOUN.PL,"Africa"
afrikanerin,afrikanerin,אַפֿריקאַנערין,NOUN,"Africa"
afrikanish,afrikanishe,אַפֿריקאַנישע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"Africa"
afrikanish,afrikanish,אַפֿריקאַניש,NOUN ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"Africa"
afrikanish,afrikanishes,אַפֿריקאַנישעס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"Africa"
afrikanish,afrikanisher,אַפֿריקאַנישער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"Africa"
afrikanish,afrikanishn,אַפֿריקאַנישן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"Africa"
afrikans,afrikans,אַפֿריקאַנס,NOUN,"Afrikaans (language)"
afrike,afrike,אַפֿריקע,NOUN.MASC,"Africa"
agadete,agadetes,אַגדתּות,NOUN.PL,"Rabbinic legends"
agent,agentn,אַגענטן,NOUN.PL,"agent"
agent,agent,אַגענט,NOUN.MASC,"agent"
agents,agents,אַגענץ,NOUN,"agency"
agents,agentsn,אַגענצן,NOUN.PL,"agency"
agentsye,agentsyes,אַגענציעס,NOUN.FEM.PL,"agency"
agentsye,agentsye,אַגענציע,NOUN.FEM,"agency"
agentur,agentur,אַגענטור,NOUN.FEM,"agency"
agentur,agenturn,אַגענטורן,NOUN.PL,"agency"
agitator,agitators,אַגיטאַטאָרס,NOUN.MASC.PL,"agitator"
agitator,agitator,אַגיטאַטאָר,NOUN.MASC,"agitator"
agitatsye,agitatsye,אַגיטאַציע,NOUN.FEM,"agitation"
agitatsye,agitatsyes,אַגיטאַציעס,NOUN.FEM.PL,"agitation"
agnostiker,agnostiker,אַגנאָסטיקער,NOUN.MASC,"agnostic"
agnostiker,agnostikers,אַגנאָסטיקערס,NOUN.MASC.PL,"agnostic"
agode,agodes,אַגדות,NOUN.PL,"Rabbinic legend"
agodl,agodl,אַגודל,NOUN.MASC,"thumb (anatomy)"
agole,agole,עגלה,NOUN.FEM,"horse-drawn wagon; hearse (Jewish)"
agole,agoles,עגלות,NOUN.PL,"horse-drawn wagon; hearse (Jewish)"
agonye,agonyes,אַגאָניעס,NOUN.FEM.PL,"death pains"
agonye,agonye,אַגאָניע,NOUN.FEM,"death pains"
agrafke,agrafke,אַגראַפֿקע,NOUN.FEM,"safety pin"
agrafke,agrafkes,אַגראַפֿקעס,NOUN.FEM.PL,"safety pin"
agrar-,agrar-,אַגראַר־,PREFIX,"agricultural"
agrarne,agrarner,אַגראַרנער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"agricultural"
agrarne,agrarnem,אַגראַרנעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"agricultural"
agrarne,agrarne,אַגראַרנע,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"agricultural"
agrarne,agrarnes,אַגראַרנעס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"agricultural"
agres,agresn,אַגרעסן,NOUN.PL,"gooseberry"
agres,agres,אַגרעס,NOUN.MASC,"gooseberry"
agresiv,agresivs,אַגרעסיװס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"aggressive; pushy"
agresiv,agresiver,אַגרעסיװער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"aggressive; pushy"
agresiv,agresivn,אַגרעסיװן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"aggressive; pushy"
agresiv,agresive,אַגרעסיװע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"aggressive; pushy"
agresiv,agresiv,אַגרעסיװ,NOUN.FEM ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"aggressive; pushy"
agresivkayt,agresivkaytn,אַגרעסיװקײטן,NOUN.PL,"aggressiveness"
agresivkayt,agresivkayt,אַגרעסיװקײט,NOUN.FEM,"aggressiveness"
agresor,agresor,אַגרעסאָר,NOUN.MASC,"aggressor"
agresor,agresorn,אַגרעסאָרן,NOUN.PL,"aggressor"
agresye,agresyes,אַגרעסיעס,NOUN.FEM.PL,"aggression"
agresye,agresye,אַגרעסיע,NOUN.FEM,"aggression"
agrikultur,agrikultur,אַגריקולטור,NOUN.FEM,"agriculture"
agronom,agronomen,אַגראָנאָמען,NOUN.PL,"agriculturist, agronomist"
agronom,agronom,אַגראָנאָם,NOUN.MASC,"agriculturist, agronomist"
agune,agune,עגונה,NOUN.FEM,"deserted wife"
agune,agunes,עגונות,NOUN.PL,"deserted wife"
aha,aha,אַהאַ,EXCLAM,"aha! expression of justification"
ahavas,ahavas,אַהבֿת,NOUN.FEM,"love of"
ahave,ahave,אַהבֿה,NOUN.FEM,"love"
aher,aher,אַהער,ADV,"hither"
aheym,aheym,אַהײם,ADV,"homeward"
aheymet,aheymet,אַהײמעט,ADV,"homeward"
aheymvarg,aheymvarg,אַהײמװאַרג,NOUN.NEUT,"take-out food"
aheymvarg,aheymvargn,אַהײמװאַרגן,NOUN.PL,"take-out food"
ahin,ahin,אַהין,ADV,"thither"
ahingas,ahingas,אַהינגאַס,NOUN.FEM,"one-way street"
ahingas,ahingasn,אַהינגאַסן,NOUN.PL,"one-way street"
ahinter,ahinter,אַהינטער,ADV,"behind"
ahintsu,ahintsu,אַהינצו,ADV,"thither"
ahintsutsu,ahintsutsu,אַהינצוצו,ADV,"thither"
ahulne,ahulne,אַהולנע,ADJ.SG.PRED,"jumpled; lumpy; wholesale"
ahulom,ahulom,אַהולאָם,ADJ.SG.PRED,"jumpled; lumpy; wholesale"
air,air,אַיִר,NOUN.MASC,"reed (plant, Poaceae)"
akademiker,akademikers,אַקאַדעמיקערס,NOUN.MASC.PL,"academician"
akademiker,akademiker,אַקאַדעמיקער,NOUN.MASC,"academician"
akademish,akademishn,אַקאַדעמישן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"academic"
akademish,akademishes,אַקאַדעמישעס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"academic"
akademish,akademishe,אַקאַדעמישע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"academic"
akademish,akademish,אַקאַדעמיש,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"academic"
akademish,akademisher,אַקאַדעמישער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"academic"
akademist,akademistn,אַקאַדעמיסטן,NOUN.PL,"graduate from academy"
akademist,akademist,אַקאַדעמיסט,NOUN.MASC,"graduate from academy"
akademye,akademye,אַקאַדעמיע,NOUN.FEM,"academy; meeting, convention, conference"
akademye,akademyes,אַקאַדעמיעס,NOUN.FEM.PL,"academy; meeting, convention, conference"
akadish,akadish,אַכּדיש,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"Akkadian (language)"
akadish,akadishe,אַקאַדישע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"Akkadian (language)"
akadish,akadishn,אַקאַדישן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"Akkadian (language)"
akadish,akadishes,אַקאַדישעס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"Akkadian (language)"
akadish,akadisher,אַקאַדישער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"Akkadian (language)"
akatsye,akatsye,אַקאַציע,NOUN.FEM,"acacia (tree, Acacia)"
akatsye,akatsyes,אַקאַציעס,NOUN.FEM.PL,"acacia (tree, Acacia)"
akegn,akegenem,אַקעגענעם,PREP,"across from, opposite, vis-à-vis; near (in time)"
akegn,akegndikn,אַקעגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"across from, opposite, vis-à-vis; near (in time)"
akegn,akegndik,אַקעגנדיק,ADJ,"across from, opposite, vis-à-vis; near (in time)"
akegn,akegndiker,אַקעגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"across from, opposite, vis-à-vis; near (in time)"
akegn,akegndiks,אַקעגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"across from, opposite, vis-à-vis; near (in time)"
akegn,akegndike,אַקעגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"across from, opposite, vis-à-vis; near (in time)"
aker,arayngeakerter,אַרײַנגעאַקערטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"plow"
aker,geakert,געאַקערט,PART,"plow"
aker,araynakerndike,אַרײַנאַקערנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plow"
aker,adurkhakerndiks,אַדורכאַקערנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plow"
aker,akerstu,אַקערסטו,V.2.SG,"plow"
aker,araynakerndiks,אַרײַנאַקערנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plow"
aker,akern,אַקערן,V.INF V.1.PL V.3.PL,"plow"
aker,arayngeakerts,אַרײַנגעאַקערטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plow"
aker,adurkhgeakert,אַדורכגעאַקערט,UNK1,"plow"
aker,adurkhakerndiker,אַדורכאַקערנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"plow"
aker,adurkhgeakerter,אַדורכגעאַקערטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"plow"
aker,adurkhgeakertn,אַדורכגעאַקערטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plow"
aker,adurkhakerndike,אַדורכאַקערנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plow"
aker,geakerter,געאַקערטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"plow"
aker,araynakern,אַרײַנאַקערן,V.INF,"plow"
aker,akerndik,אַקערנדיק,V.PRES.PTCP,"plow"
aker,arayngeakertn,אַרײַנגעאַקערטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plow"
aker,arayngeakerte,אַרײַנגעאַקערטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plow"
aker,geakertn,געאַקערטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plow"
aker,akerndiks,אַקערנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plow"
aker,akerndike,אַקערנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plow"
aker,geakerte,געאַקערטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plow"
aker,aker,אַקער,NOUN.MASC NOUN.MASC,"plow; acre (area)"
aker,akerndiker,אַקערנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"plow"
aker,adurkhgeakerte,אַדורכגעאַקערטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plow"
aker,adurkhgeakerts,אַדורכגעאַקערטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plow"
aker,araynakerndik,אַרײַנאַקערנדיק,PRES.PTCP,"plow"
aker,arayngeakert,אַרײַנגעאַקערט,UNK1,"plow"
aker,araynakerndiker,אַרײַנאַקערנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"plow"
aker,araynakerndikn,אַרײַנאַקערנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plow"
aker,akerndikn,אַקערנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plow"
aker,adurkhakern,אַדורכאַקערן,V.INF,"plow"
aker,adurkhakerndikn,אַדורכאַקערנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plow"
aker,geakerts,געאַקערטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plow"
aker,adurkhakerndik,אַדורכאַקערנדיק,PRES.PTCP,"plow"
aker,akert,אַקערט,V.3.SG V.2.PL,"plow"
aker,akerst,אַקערסט,V.2.SG,"plow"
aker,arayntsuakern,אַרײַנצואַקערן,V.INF,"plow"
aker,adurkhtsuakern,אַדורכצואַקערן,V.INF,"plow"
aker,akers,אַקערס,NOUN.MASC.PL NOUN.MASC.PL,"plow; acre (area)"
akerayzn,akerayzns,אַקערײַזנס,NOUN.NEUT.PL,"plow"
akerayzn,akerayzn,אַקעראײַזן,NOUN.NEUT,"plow"
akerer,akerers,אַקערערס,NOUN.MASC.PL,"plowman"
akerer,akerer,אַקערער,NOUN.MASC,"plowman"
akerland,akerland,אַקערלאַנד,NOUN.NEUT,"tillage, arable land"
akerland,akerlender,אַקערלענדער,NOUN.PL,"tillage, arable land"
akerman,akermener,אַקערמענער,NOUN.PL,"plowman"
akerman,akerman,אַקערמאַן,NOUN.MASC,"plowman"
akervalts,akervaltsn,אַקערװאַלצן,NOUN.PL,"plow-wheel"
akervalts,akervalts,אַקערװאַלץ,NOUN.MASC,"plow-wheel"
akh,akh,אַך,EXCLAM,"ah: expression of disgust or wonder"
akhashtronim,akhashtronim,אַכאַשטראָנים,NOUN.PL,"messengers; upset people (humorous)"
akhashveyresh,akhashveyreshs,אַחשװרושס,N N,"Ahasuerus (king in Book of Esther); Ahasuerus (king in Book of Esther)"
akhashveyresh,akhashveyreshn,אַחשװרושן,N.DAT N.DAT,"Ahasuerus (king in Book of Esther); Ahasuerus (king in Book of Esther)"
akhberosh,akhberosh,אַכבעראָש,NOUN.MASC,"prankster; mischievous brat; thief"
akhberosh,akhberoshim,אַכבעראָשים,NOUN.PL,"prankster; mischievous brat; thief"
akhibe,akhibe,אַכיבע,ADV,"unless"
akhke,geakhketn,געאַכקעטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"groan; repeat akh"
akhke,akhkendik,אַכקענדיק,V.PRES.PTCP,"groan; repeat akh"
akhke,akhken,אַכקען,V.INF V.1.PL V.3.PL,"groan; repeat akh"
akhke,akhkendiker,אַכקענדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"groan; repeat akh"
akhke,akhkestu,אַכקעסטו,V.2.SG,"groan; repeat akh"
akhke,akhkest,אַכקעסט,V.2.SG,"groan; repeat akh"
akhke,akhkendiks,אַכקענדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"groan; repeat akh"
akhke,akhkendikn,אַכקענדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"groan; repeat akh"
akhke,geakhket,געאַכקעט,PART,"groan; repeat akh"
akhke,geakhkets,געאַכקעטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"groan; repeat akh"
akhke,geakhkete,געאַכקעטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"groan; repeat akh"
akhke,geakhketer,געאַכקעטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"groan; repeat akh"
akhke,akhket,אַכקעט,V.3.SG V.2.PL,"groan; repeat akh"
akhke,akhkendike,אַכקענדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"groan; repeat akh"
